//resources generated by orbital bodies in stellar object systems, resources are the most basic type of minerals. 
// both Hydrogen and Helium have much higher universal abundancies, but it is unobtainably locked into the central stellar object or the gas giants.
// So the entries 750000 and 230000 have been replaced with lower valued ones.
//electrolysers, chemical plants, refineries etc are needed to convert resources to the next step. i.e. from ores to plates or powders.
//order of data per line
// name, symbol, block-element 
// universal abundance ( measured by atom fraction) 
// state of matter (at 27 C and 1 atm) ,  AllIsotopesRadioactive , atomic mass, electronegativity,
// Group of All oxidation states, group of common oxidation states.
//
// todo : Include specific isotopes. Will be very much work


{  Hydr-ogen,H,s, 750, 0, 0,1.00797,2.20, (-1,0,1), (-1,0,1)}
{  Helium,He,s, 230, 0, 0,4.0026,0, (0), (0)}
{  Lithium,Li,s, 0.006, 2, 0,6.941,0.98, (0,1), (0,1)}
{  Beryllium,Be,s, 0.001, 2, 0,9.01218,1.57, (0,1,2), (0,2)}
{  Bor-on,B,p, 0.001, 2, 0,10.81,2.4, (-5,-1,0,1,2,3), (0,3)}
{  Carb-on,C,p, 5000, 2, 0,12.011,2.55, (-4,-3,-2,-1,0,1,2,3,4), (-4,-3,-2,-1,0,1,2,3,4)}
{  Nitr-ogen,N,p, 1000, 0, 0,14.0067,3.4, (-3,-2,-1,0,1,2,3,4,5), (-3,0,3,5)}
{  Ox-ygen,O,p, 10000, 0, 0,15.9994,3.44, (-2,-1,0,1,2), (-2,0)}
{  Fluor-ine,F,p, 0.4, 0, 0,18.998403,3.98, (-1,0), (-1,0)}
{  Neon,Ne,p, 1300, 0, 0,20.179,0, (0), (0)}
{  Sodium,Na,s, 20, 2, 0,22.98977,0.93, (-1,0,1), (0,1)}
{  Magnesium,Mg,s, 600, 2, 0,24.305,1.31, (0,1,2), (0,2)}
{  Alumin-ium,Al,p, 50, 2, 0,26.98154,1.61, (-2,-1,0,1,2,3), (0,3)}
{  Silic-on,Si,p, 650, 2, 0,28.0855,1.90, (-4,-3,-2,-1,0,1,2,3,4), (-4,0,4)}
{  Phosph-orus,P,p, 7, 2, 0,30.97376,2.19, (-3,-2,-1,0,1,2,3,4,5), (-3,0,3,5)}
{  Sulf-ur,S,p, 500, 2, 0,32.06,2.58, (-2,-1,0,1,2,3,4,5,6), (-2,0,2,4,6)}
{  Chlor-ine,Cl,p, 1, 0, 0,35.453,3.16, (-1,0,1,2,3,4,5,6,7), (-1,0,1,3,5,7)}
{  Argon,Ar,p, 200, 0, 0,39.948,0, (0), (0)}
{  Potassium,K,s, 3, 0, 0,39.0983,0.82, (-1,0,1), (0,1)}
{  Calcium,Ca,s, 70, 2, 0,40.08,1.0, (0,1,2), (0,2)}
{  Scandium,Sc,d, 0.03, 2, 0,44.9559,1.36, (0,1,2,3), (0,3)}
{  Titanium,Ti,d, 3, 2, 0,47.9,1.54, (-2,-1,0,1,2,3,4), (0,4)}
{  Vanadium,V,d, 1, 2, 0,50.9415,1.63, (-3,-1,0,1,2,3,4,5), (0,5)}
