// In this file, some of the phyla of life are given with appropriate modifiers
// for different properties that life can have
// In the case of biologically incompatible AI Lifeforms, new Phyla of life 
// can also be created. The list is far from complete as most of the Phyla are either unkown or 
// not being mentioned here.  However all classifications after this from Class and lower are even more incompletely 
// mentioned. Starting from Class and lower, only links in the direct chain from SubPhylum-Class-Order-Family-Genus to the in-game Species 
//will be entries in the respective Class, Family, Genus and Species file. 
// Phyla belonging to the Archaea and Bacteria are directly linked to the Domain Life. Phyla belonging to 
// Eukarya are linked to the respective Kingdom they belong to.
// // For Now, the data consist of the Name of the Phylim, and the id of the Kingdom it belongs to.  The id of the Phyla, for use by SubPhyla and lower start with 1
// 0 in kingdom level, is reserved for phyla that don't have a kingdom. 

{ Annelida, 7}
{ Agmata, 7}
{ Archaeocyatha, 7}
{ Arthropoda, 7}
{ Brachiopoda, 7}
{ Bryozoa(Ectoprocta), 7}
{ Chaetognatha, 7}
{ Chordata, 7}
{ Cnidaria, 7}
{ Ctenophora, 7}
{ Cycliophora, 7}
{ Echinodermata, 7}
{ Entoprocta, 7}
{ Gastrotricha, 7}
{ Gnathostomulida, 7}
{ Hemichordata, 7}
{ Kinorhyncha, 7}
{ Loricifera, 7}
{ Micrognathozoa, 7}
{ Mollusca, 7}
{ Nematoda, 7}
{ Nematomorpha, 7}
{ Nemertea, 7}
{ Onychophora, 7}
{ Petalonamae, 7}
{ Phoronida, 7}
{ Placozoa, 7}
{ Platyhelminthes, 7}
{ Porifera, 7}
{ Priapulida, 7}
{ Proarticulata, 7}
{ Rhombozoa(Dicyemida), 7}
{ Rotifera, 7}
{ Saccorhytida, 7}
{ Tardigrada, 7}
{ Trilobozoa, 7}
{ Vetulicolia, 7}
{ Xenacoelomorpha, 7}
{ Anthocerotophyta, 5}
{ Bryophyta, 5}
{ Charophyta, 5}
{ Chlorophyta, 5}
{ Cycadophyta, 5}
{ Ginkgophyta, 5}
{ Glaucophyta, 5}
{ Gnetophyta, 5}
{ Lycopodiophyta/Lycophyta, 5}
{ Magnoliophyta, 5}
{ Marchantiophyta/Hepatophyta, 5}
{ Polypodiophyta/Monilophyta, 5}
{ Pinophyta/Coniferophyta, 5}
{ Rhodophyta, 5}
{ Ascomycota, 6}
{ Basidiomycota, 6}
{ Blastocladiomycota, 6}
{ Chytridiomycota, 6}
{ Glomeromycota, 6}
{ Microsporidia, 6}
{ Neocallimastigomycota, 6}
{ Zygomycota, 6}
{ Amoebozoa, 3}
{ Bigyra, 3}
{ Cercozoa, 3}
{ Choanozoa, 3}
{ Ciliophora, 3}
{ Cryptista, 3}
{ Euglenozoa, 3}
{ Foraminifera, 3}
{ Haptophyta, 3}
{ Loukozoa, 3}
{ Metamonada, 3}
{ Microsporidia, 3}
{ Myzozoa, 3}
{ Ochrophyta, 3}
{ Oomycota, 3}
{ Percolozoa, 3}
{ Radiozoa, 3}
{ Sarcomastigophora, 3}
{ Sulcozoa, 3}
{ Miozoa, 4}
{ Ciliophora, 4}
{ Gyrista, 4}
{ Bigyra, 4}
{ Cercozoa, 4}
{ Retaria, 4}
{ Cryptista, 4}
{ Haptista, 4}
{ Nitrososphaerota, 1}
{ Thermoproteota, 1}
{ 10bav-F6, 2}
{ Abawacabacteria, 2}
{ Abditibacteriota, 2}
{ Absconditabacteria, 2}
{ ABY1, 2}
{ Bipolaricaulota, 2}
{ Acidobacteriota, 2}
{ Actinomycetota, 2}
